uniprot_id,is_core,source
Q16790,0,ferrdb;ferreg
Q16832,0,ferrdb;ferreg
Q16878,0,ferrdb;ferreg
Q2NL67,0,ferrdb;ferreg
Q460N3,0,ferrdb;ferreg
Q460N5,0,ferrdb;ferreg
Q4KMQ2,0,ferrdb;ferreg
Q53EP0,0,ferrdb
Q53GL7,0,ferrdb;ferreg
Q58F21,0,ferrdb;ferreg
Q5JTC6,0,ferrdb
Q5JU69,0,ferrdb;ferreg
Q5MJ70,0,ferrdb
Q5MNZ9,0,ferrdb;ferreg
Q5S007,0,ferrdb
Q5T200,0,ferrdb
Q5T447,0,ferrdb
Q5XUX0,0,ferrdb
Q5XXA6,0,ferrdb
Q5ZPR3,0,ferrdb
Q641Q3,0,ferrdb
Q676U5,0,ferrdb;ferreg
Q69YN4,0,ferrdb
Q6B0I6,0,ferrdb
Q6IMN6,0,ferrdb
Q6N021,0,ferrdb
Q6NSZ9,0,ferrdb
Q6NZI2,0,ferrdb
Q6P1M0,0,ferrdb
Q6P2P2,0,ferrdb
Q6P589,0,ferrdb
Q6P6C2,0,ferrdb;ferreg
Q6PUV4,0,ferrdb
Q6R327,0,ferrdb;ferreg
Q6TCH7,0,ferrdb;ferreg
Q6UUV7,0,ferrdb
Q6VVB1,0,ferrdb
Q6YN16,0,ferrdb
Q6ZMJ2,0,ferrdb
Q6ZNC8,0,ferrdb
Q6ZWT7,0,ferrdb
Q71DI3,0,ferrdb
Q76LX8,0,ferrdb;ferreg
Q76N89,0,ferrdb
Q7KZF4,0,ferrdb;ferreg
Q7LBC6,0,ferrdb;ferreg
Q7Z4K8,0,ferrdb;ferreg
Q7Z628,0,ferreg
Q7Z6Z7,0,ferrdb
Q7Z7M9,0,ferrdb
Q80TA1,0,ferreg
Q86SK9,0,ferrdb
Q86SX6,0,ferrdb;ferreg
Q86TI2,0,ferrdb
Q86TL0,0,ferrdb;ferreg
Q86TM6,0,ferrdb
Q86TX2,0,ferrdb;ferreg
Q86U28,0,ferrdb
Q86U44,0,ferrdb;ferreg
Q86UE4,0,ferrdb;ferreg
Q86V86,0,ferrdb
Q86VQ6,0,ferrdb;ferreg
Q86W50,0,ferrdb
Q86WV6,0,ferrdb;ferreg
Q86X55,0,ferrdb
Q86YH6,0,ferrdb;ferreg
Q86YT6,0,ferrdb;ferreg
Q8IUX7,0,ferrdb
Q8IV42,0,ferrdb;ferreg
Q8IVP5,0,ferrdb
Q8IWA4,0,ferrdb
Q8IWR1,0,ferrdb
Q8IWT3,0,ferrdb
Q8IXJ6,0,ferrdb;ferreg
Q8IXQ6,0,ferrdb;ferreg
Q8IXU6,0,ferrdb
Q8IYT8,0,ferrdb;ferreg
Q8IYU2,0,ferrdb
Q8IZF2,0,ferrdb
Q8N0U8,0,ferrdb
Q8N122,0,ferrdb;ferreg
Q8N138,0,ferrdb
Q8N271,0,ferrdb;ferreg
Q8N2K0,0,ferrdb;ferreg
Q8N370,0,ferrdb
Q8N3A8,0,ferrdb;ferreg
Q8N3J5,0,ferrdb
Q8N4P3,0,ferrdb;ferreg
Q8N5F7,0,ferrdb
Q8N5K1,0,ferrdb
Q8N5U1,0,ferrdb;ferreg
Q8N5Y8,0,ferrdb;ferreg
Q8N6T7,0,ferrdb;ferreg
Q8N726,0,ferreg
Q8N884,0,ferrdb;ferreg
Q8NAU1,0,ferrdb;ferreg
Q8NBP7,0,ferrdb;ferreg
Q8NBQ7,0,ferrdb;ferreg
Q8NCA5,0,ferrdb;ferreg
Q8NCD3,0,ferrdb
Q8NE86,0,ferrdb
Q8NER1,0,ferrdb;ferreg
Q8TB72,0,ferreg
Q8TCT0,0,ferrdb
Q8TD20,0,ferrdb
Q8TDY2,0,ferrdb;ferreg
Q8TE60,0,ferreg
Q8WTS6,0,ferrdb
Q8WUF5,0,ferreg
Q8WUF5 ,0,ferrdb
Q8WUJ3,0,ferrdb
Q8WUK0,0,ferrdb;ferreg
Q8WUX1,0,ferrdb
Q8WV92,0,ferrdb;ferreg
Q8WVX9,0,ferrdb;ferreg
Q8WWM9,0,ferrdb;ferreg
Q8WXF7,0,ferrdb
Q8WYB5,0,ferrdb
Q92482,0,ferreg
Q92508,0,ferrdb;ferreg
Q92519,0,ferrdb;ferreg
Q92560,0,ferrdb
Q92574,0,ferrdb;ferreg
Q92597,0,ferrdb
Q92598,0,ferrdb;ferreg
Q92685,0,ferrdb
Q92730,0,ferrdb
Q92747,0,ferrdb
Q92754,0,ferrdb;ferreg
Q92786,0,ferrdb
Q92908,0,ferrdb
Q92973,0,ferreg
Q92985,0,ferrdb;ferreg
Q92993,0,ferrdb;ferreg
Q93009,0,ferrdb;ferreg
Q969H0,0,ferrdb;ferreg
Q969T9,0,ferrdb
Q969V6,0,ferrdb
Q96A46,0,ferrdb
Q96A54,0,ferrdb
Q96AV8,0,ferrdb;ferreg
Q96AX9,0,ferrdb;ferreg
Q96B36,0,ferrdb
Q96BD5,0,ferreg
Q96BH1,0,ferrdb
Q96C12,0,ferrdb
Q96C86,0,ferrdb
Q96CM8,0,ferrdb;ferreg
Q96DX7,0,ferrdb
Q96E52,0,ferrdb
Q96EB6,0,ferrdb;ferreg
Q96EP5,0,ferrdb;ferreg
Q96F44,0,ferrdb
Q96FL8,0,ferrdb
Q96FL9,0,ferrdb;ferreg
Q96FW1,0,ferrdb;ferreg
Q96G74,0,ferrdb
Q96HS1,0,ferrdb
Q96K31,0,ferrdb
Q96KJ9,0,ferrdb;ferreg
Q96KQ7,0,ferrdb
Q96KS0,0,ferrdb;ferreg
Q96MF6,0,ferrdb
Q96MM6,0,ferrdb
Q96MN9,0,ferrdb
Q96MU7,0,ferrdb
Q96N66,0,ferrdb
Q96NZ1,0,ferrdb
Q96P11,0,ferrdb
